DESIGNATED_CUST_NAME,ABBREVIATION
7-ELEVEN,7-ELEVEN
AHOLD,AHOLD
ALDI,ALDI
AMAZON,AMAZON
BASKIN ROBINS,BA RO
BJS,BJ
BURGER KING,BK
C STORE,CST
CHICFILA,CFA
CHILIS,CHILIS
CIRCLE K,CIRK
COSTCO,CSTCO
CULVERS,CUL
CVS,CVS
DAVE'S HOT CHICKEN,DVS HT CHKN
DEMOULAS,DMOULS
DOLLAR GENERAL,DG
FOOD FOR LESS,F4L
FOOD GIANT,GIANT
FOOD LION,FOOD LN
GFS,GFS
HEB,HEB
KING SOOPERS,KSOOP
KROGER,KR
LOBLAWS LIMITED COMPANIES,LBLAWS
MCDONALDS,MCDON
MEIJER,MEIJER
MEMBERS MARK,MEM MA
PFG,PFG
PUBLIX,PUBLX
RALPHS,RALPH
SAMS,SAMS
SAVE-A-LOT,SAL
SHOPRITE,SHOP
SODEXHO,SODEXHO
SOOIE,SOOIE
SUPERVALU,SUPERVAL
SYSCO,SYS
TACO BELL,TCO BL
TARGET,TG
TESCO,TES
TOPCO,TOPCO
TRADER JOES,TJ
UNIPRO,UNIPRO
USFS,USFS
WAL-MART,WM
WALGREENS,WG
WEGMANS,WEGMNS
WENDYS,WNDYS 
WHOLE FOODS,WFD
WHSL,WHSL
WINCO,WINCO
WINN DIXIE,WN DXE
ZAXBYS,ZXBY 
