EXTWG_EXT_MAT_GRP,CHANNEL,MIN_SHELF_LIFE
CAN_BARS,CANADA,90
CAN_BEV,CANADA,90
CAN_CRACKERS,CANADA,90
CAN_EGGO,CANADA,90
CAN_FAFH,CANADA,90
CAN_FRUIT SNACKS,CANADA,90
CAN_INGREDIENT,CANADA,90
CAN_OTH CONV,CANADA,90
CAN_SALTY,CANADA,90
CAN_TOASTER PASTRI,CANADA,90
CAN_VEGGIE,CANADA,90
CLUB_BARS,CLUB,95
CLUB_BEV,CLUB,95
CLUB_CRACKERS,CLUB,95
CLUB_EGGO,CLUB,95
CLUB_FRUIT SNACKS,CLUB,95
CLUB_INGREDIENT,CLUB,95
CLUB_OTH CONV,CLUB,95
CLUB_SALTY,CLUB,95
CLUB_TOASTER PASTR,CLUB,95
CLUB_VEGGIE,CLUB,95
EXP_BARS,EXPORT,135
EXP_BEV,EXPORT,145
EXP_CRACKERS,EXPORT,135
EXP_EGGO,EXPORT,180
EXP_FRUIT SNACKS,EXPORT,135
EXP_INGREDIENT,EXPORT,145
EXP_OTH CONV,EXPORT,135
EXP_SALTY,EXPORT,135
EXP_TOASTER PASTRI,EXPORT,145
EXP_VEGGIE,EXPORT,180
BARS,RETAIL,135
BEV,RETAIL,95
CRACKERS,RETAIL,135
DISC_BARS,RETAIL,135
DISC_CEREAL,RETAIL,145
DISC_COOKIE,RETAIL,135
DISC_CRACKERS,RETAIL,135
DISC_FRUIT SNACKS,RETAIL,135
DISC_INGREDIENT,RETAIL,145
DISC_OTH CONV,RETAIL,135
DISC_SALTY,RETAIL,135
DISC_TOASTER PASTR,RETAIL,145
DOLL_BARS,RETAIL,135
DOLL_CRACKERS,RETAIL,135
DOLL_EGGO,RETAIL,180
DOLL_FRUIT SNACKS,RETAIL,135
DOLL_OTH CONV,RETAIL,135
DOLL_SALTY,RETAIL,135
DOLL_TOASTER PASTR,RETAIL,145
DRUG_BARS,RETAIL,135
DRUG_BEV,RETAIL,145
DRUG_CRACKERS,RETAIL,135
DRUG_EGGO,RETAIL,180
DRUG_FRUIT SNACKS,RETAIL,135
DRUG_OTH CONV,RETAIL,135
DRUG_SALTY,RETAIL,135
DRUG_TOASTER PASTR,RETAIL,145
EGGO,RETAIL,180
FRUIT SNACKS,RETAIL,135
INGREDIENT,RETAIL,145
OTH CONV,RETAIL,110
SALTY,RETAIL,135
TOASTER PASTRIES,RETAIL,145
VEGGIE,RETAIL,180
CAN_OTH CONV,RX,90
CLUB_OTH CONV,RX,95
DISC_OTH CONV,RX,135
DOLL_OTH CONV,RX,135
DRUG_OTH CONV,RX,135
EXP_OTH CONV,RX,135
OTH CONV,RX,110
CONVENCE,SPECIALTY,110
CUSTOMPROD,SPECIALTY,65
DTC,SPECIALTY,65
FDSRVCS,SPECIALTY,65
OTH CONV,SPECIALTY,110
VENDING,SPECIALTY,95
