MAT_FRT_GRP,CONCAT_FOOD_TYPE,CONCAT_MAT_FRT_GRP_DESC
50,050 - FROZEN KASHI,50 - 73225 FOODSTUFFS FRZ
50,050 - FROZEN MEAT SUBSTITUTE PRODUCTS,50 - 73225 FOODSTUFFS FRZ
50,050 - FROZEN MUFFINS,50 - 73225 FOODSTUFFS FRZ
50,050 - FROZEN PANCAKES,50 - 73225 FOODSTUFFS FRZ
50,050 - FROZEN WAFFLES,50 - 73225 FOODSTUFFS FRZ
55,055 - BEVERAGE POWDER,55 - 73227 FDSTUFFS NFRZ
55,055 - FRUIT SNACKS,55 - 73227 FDSTUFFS NFRZ
55,055 - NON FROZEN MEAT SUBSTITUTE PRODUCTS,55 - 73227 FDSTUFFS NFRZ
55,055 - NUT BUTTERS,55 - 73227 FDSTUFFS NFRZ
55,055 - SHAKES,55 - 73227 FDSTUFFS NFRZ
55,055 - SYRUP,55 - 73227 FDSTUFFS NFRZ
60,060 - BARS,60 - 72040 BAKERYGOODS
60,060 - COOKIES,60 - 72040 BAKERYGOODS
60,060 - CRACKERS,60 - 72040 BAKERYGOODS
60,060 - PIE CRUSTS,60 - 72040 BAKERYGOODS
60,060 - POP TARTS,60 - 72040 BAKERYGOODS
65,065 - PACKAGING,65 - 29280 KD NCORRU PKGS
70,070 - CEREAL,70 - 42315 CEREAL NONBXS
125,125 - PRINGLES,125 - 74800 SNACKFDS CHPS
125,125 - SPECIAL K CRACKER CHIPS (BOX),125 - 74800 SNACKFDS CHPS
150,150 - ICE CREAM CONE BOWLS,150 - 72795 ICECRMCONE
150,150 - ICE CREAM CONES,150 - 72795 ICECRMCONE
250,250 - SPECIAL K CRACKER CHIPS (SINGLE SERVE),250 - 74800 SNACK FOODS
