MVGR5_GRP5,BEZEI_GRP5_DESC,CONCATENATE
901,BASIC GROCERIES,901 BASIC GROCERIES
902,BASIC GROCERIES (BAKED GOODS SEC 93 MOR,902 BASIC GROCERIES (BAKED GOODS SEC 93 MOR
903,BAKED GOODS SEC 93 LESS THAN 6 COUNTS,903 BAKED GOODS SEC 93 LESS THAN 6 COUNTS
904,BASIC GROCERIES (BAKED GOODS SEC 94),904 BASIC GROCERIES (BAKED GOODS SEC 94)
905,FRUIT SNACKS,905 FRUIT SNACKS
906,GRANOLA SNACKS / TRAIL MIX,906 GRANOLA SNACKS / TRAIL MIX
907,BASIC GROCERIES (MEAL REPLACEMENT BAR),907 BASIC GROCERIES (MEAL REPLACEMENT BAR)
908,DISPLAY MODS - FULLY TAXABLE,908 DISPLAY MODS - FULLY TAXABLE
909,DISPLAY MODS - PARTIALLY TAXABLE,909 DISPLAY MODS - PARTIALLY TAXABLE
910,DISPLAY MODS - NON TAXABLE,910 DISPLAY MODS - NON TAXABLE
