T179_PRODH_BRAND,T179T_VTEXT_BRAND_DESC,CLASS_TYPE,CHAR_NAME,CHAR_VALUE,STATED_NET_WT_MIN,STATED_NET_WT_MAX,UOM
2035100221,PRINGLES CRISPS,SALES_DATA,PRINGLES CAN SIZE,606,98.0,104.9,G
2035100221,PRINGLES CRISPS,SALES_DATA,PRINGLES CAN SIZE,CLASSIC,121.0,130.9,G
2035100221,PRINGLES CRISPS,SALES_DATA,PRINGLES CAN SIZE,GRAB N GO,37.1,71.9,G
2035100221,PRINGLES CRISPS,SALES_DATA,PRINGLES CAN SIZE,MEGA,194.0,999.9,G
2035100221,PRINGLES CRISPS,SALES_DATA,PRINGLES CAN SIZE,SUPER STACK,146.0,158.9,G
2035100221,PRINGLES CRISPS,SALES_DATA,PRINGLES CAN SIZE,TALL,169,193,G
2035100222,PRINGLES CRISPS SNACK STACKS,SALES_DATA,PRINGLES CAN SIZE,SNACK STACK,21,19,G
2035100324,PRINGLES MINGLES,SALES_DATA,PRINGLES CAN SIZE,MINGLES,9,453,G
2035150249,PRINGLES TORTILLAS,SALES_DATA,PRINGLES CAN SIZE,TORTILLA,180.0,191.9,G
2035150271,PRINGLES LOUD,SALES_DATA,PRINGLES CAN SIZE,LOUD,1.0,999.9,G
2035200223,PRINGLES STIX,SALES_DATA,PRINGLES CAN SIZE,STIX,1.0,999.9,G
