CLASS_TYPE,CHAR_NAME,CHAR_VALUE_CUBE_SIZE,CUBE_QUALIFIER,PKG_PER_CASE,PKG_LENGTH,PKG_WIDTH,CASE_LENGTH,CASE_WIDTH,CASE_HEIGHT,UL_CASE_COUNT,CASES_PER_UL,UL_CASE_PER_TIER,UL_NO_OF_TIERS,UL_LENGTH,UL_WIDTH,UL_HEIGHT
FINISHED_GOODS,CUBE_SIZE,1003,-,-,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
FINISHED_GOODS,CUBE_SIZE,1003VS,-,-,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
FINISHED_GOODS,CUBE_SIZE,1008,-,-,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
FINISHED_GOODS,CUBE_SIZE,1108,PRINGLES,,,,,,,,,,,,,
FINISHED_GOODS,CUBE_SIZE,1108VS,PRINGLES,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
FINISHED_GOODS,CUBE_SIZE,120,-,-,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
FINISHED_GOODS,CUBE_SIZE,149,-,-,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
FINISHED_GOODS,CUBE_SIZE,192,-,-,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
FINISHED_GOODS,CUBE_SIZE,202,-,-,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
FINISHED_GOODS,CUBE_SIZE,307,PRINGLES,,,,,,,,,,,,,
FINISHED_GOODS,CUBE_SIZE,307VS," OTHER",1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
FINISHED_GOODS,CUBE_SIZE,413,PRINGLES,,,,,,,,,,,,,
FINISHED_GOODS,CUBE_SIZE,413VS,OTHER,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
FINISHED_GOODS,CUBE_SIZE,606,PRINGLES,,,,,,,,,,,,,
FINISHED_GOODS,CUBE_SIZE,606VS,OTHER,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
FINISHED_GOODS,CUBE_SIZE,714,PRINGLES,,,,,,,,,,,,,
FINISHED_GOODS,CUBE_SIZE,714VS,-,-,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
FINISHED_GOODS,CUBE_SIZE,807,OTHER,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
FINISHED_GOODS,CUBE_SIZE,903,PRINGLES,,,,,,,,,,,,,
FINISHED_GOODS,CUBE_SIZE,903VS,OTHER,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
FINISHED_GOODS,CUBE_SIZE,913,OTHER,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
FINISHED_GOODS,CUBE_SIZE,913TR,OTHER,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
FINISHED_GOODS,CUBE_SIZE,CUP,PRINGLES,,,,,,,,,,,,,
FINISHED_GOODS,CUBE_SIZE,Mingles VS,-,-,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
FINISHED_GOODS,CUBE_SIZE,SNSTKVS,OTHER,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
FINISHED_GOODS,CUBE_SIZE,TUBIH,OTHER,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
FINISHED_GOODS,CUBE_SIZE,TUBIH,PRINGLES,,,,,,,,,,,,,
FINISHED_GOODS,CUBE_SIZE,TUBVS,PRINGLES,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
